Trolley_Rank,Stop_Name,Route,District,Units_2020_2025,Permits_2020_2025,Development_Score,Frequency_Score,Total_Score
92,Frankford Av & Delaware Av Loop,G1,1,169,13,14.8,25.5,40.3
93,40th St & Filbert St,T1,3,161,16,14.1,25.5,39.6
94,40th St & Filbert St,T1,3,161,16,14.1,25.5,39.6
95,Lancaster Av & 38th St,T1,3,158,17,13.8,25.5,39.3
96,Chester Av & 49th St,T3,3,157,9,13.7,25.5,39.2
97,Girard Av & 26th St,G1,5,156,15,13.7,25.5,39.1
98,Girard Av & 26th St,G1,5,156,15,13.7,25.5,39.1
99,Chester Av & 51st St,T3,3,155,16,13.6,25.5,39.1
100,Chester Av & 51st St,T3,3,155,16,13.6,25.5,39.1
101,40th-Market,T2,3,151,15,13.2,25.5,38.7
102,40th-Market,T2,3,151,15,13.2,25.5,38.7
103,40th-Market,T3,3,151,15,13.2,25.5,38.7
104,40th-Market,T3,3,151,15,13.2,25.5,38.7
105,40th-Market,T4,3,151,15,13.2,25.5,38.7
106,40th-Market,T4,3,151,15,13.2,25.5,38.7
107,40th-Market,T5,3,151,15,13.2,25.5,38.7
108,40th-Market,T5,3,151,15,13.2,25.5,38.7
109,Baltimore Av & 51st St,T2,3,147,12,12.9,25.5,38.4
110,Girard Av & 11th St,G1,5,146,6,12.8,25.5,38.3
111,Girard Av & 27th St,G1,5,146,14,12.8,25.5,38.3
112,College Av & 24th St - FS,G1,5,146,14,12.8,25.5,38.3
113,Girard Av & 11th St,G1,5,146,6,12.8,25.5,38.3
114,Chester Av & 52nd St,T3,3,143,15,12.5,25.5,38.0
115,Chester Av & 52nd St,T3,3,143,15,12.5,25.5,38.0
116,Baltimore Av & 51st St,T2,3,137,11,12.0,25.5,37.5
117,Baltimore Av & 53rd St,T2,3,137,11,12.0,25.5,37.5
118,Chester Av & 49th St,T3,3,137,7,12.0,25.5,37.5
119,Girard Av & 24th St,G1,5,136,13,11.9,25.5,37.4
120,Poplar St & 25th St,G1,5,136,13,11.9,25.5,37.4
121,Girard Av & 39th St,G1,3,134,15,11.7,25.5,37.2
122,Baltimore Av & 53rd St,T2,3,127,10,11.1,25.5,36.6
123,Baltimore Av & 52nd St,T2,3,127,10,11.1,25.5,36.6
124,Poplar St & Stillman St,G1,5,126,12,11.0,25.5,36.5
125,Chester Av & 53rd St,T3,3,123,13,10.8,25.5,36.3
126,Chester Av & 53rd St,T3,3,123,13,10.8,25.5,36.3
127,Baltimore Av & Broomall St,T2,3,117,9,10.2,25.5,35.7
128,Baltimore Av & 54th St,T2,3,117,9,10.2,25.5,35.7
129,Girard Av & 51st St,G1,4,113,10,9.9,25.5,35.4
130,Girard Av & 52nd St,G1,4,113,10,9.9,25.5,35.4
131,Girard Av & 52nd St,G1,4,113,10,9.9,25.5,35.4
132,Girard Av & 51st St,G1,3,113,10,9.9,25.5,35.4
133,Chester Av & 48th St,T3,3,113,4,9.9,25.5,35.4
134,Chester Av & 47th St,T3,3,113,4,9.9,25.5,35.4
135,Chester Av & 47th St,T3,3,113,4,9.9,25.5,35.4
136,Chester Av & 48th St,T3,3,113,4,9.9,25.5,35.4
137,Girard Av & 39th St,G1,4,110,12,9.6,25.5,35.1
138,Baltimore Av & 54th St,T2,3,107,8,9.4,25.5,34.9
139,Girard Av & 27th St,G1,5,106,10,9.3,25.5,34.8
