Rank,Stop_Name,Route,District,Permits_2020_2025,Units_2020_2025,Latitude,Longitude
95,Lancaster Av & 38th St,T1,3,17,158,39.96024,-75.196721
96,Chester Av & 49th St,T3,3,9,157,39.944041,-75.216622
97,Girard Av & 26th St,G1,5,15,156,39.973976,-75.178733
98,Girard Av & 26th St,G1,5,15,156,39.973896,-75.178946
99,Chester Av & 51st St,T3,3,16,155,39.942349,-75.219048
100,Chester Av & 51st St,T3,3,16,155,39.942519,-75.219012
101,40th-Market,T2,3,15,151,39.957259,-75.202021
102,40th-Market,T2,3,15,151,39.957259,-75.202021
103,40th-Market,T3,3,15,151,39.957259,-75.202021
104,40th-Market,T3,3,15,151,39.957259,-75.202021
105,40th-Market,T4,3,15,151,39.957259,-75.202021
106,40th-Market,T4,3,15,151,39.957259,-75.202021
107,40th-Market,T5,3,15,151,39.957259,-75.202021
108,40th-Market,T5,3,15,151,39.957259,-75.202021
109,Baltimore Av & 51st St,T2,3,12,147,39.947715,-75.225456
110,Girard Av & 11th St,G1,5,6,146,39.970845,-75.154021
111,Girard Av & 27th St,G1,5,14,146,39.974202,-75.18028
112,College Av & 24th St - FS,G1,5,14,146,39.97239,-75.175384
113,Girard Av & 11th St,G1,5,6,146,39.970756,-75.154222
114,Chester Av & 52nd St,T3,3,15,143,39.941539,-75.220184
115,Chester Av & 52nd St,T3,3,15,143,39.941726,-75.220124
116,Baltimore Av & 51st St,T2,3,11,137,39.94783,-75.225266
117,Baltimore Av & 53rd St,T2,3,11,137,39.947846,-75.229317
118,Chester Av & 49th St,T3,3,7,137,39.944281,-75.216527
119,Girard Av & 24th St,G1,5,13,136,39.972453,-75.175844
120,Poplar St & 25th St,G1,5,13,136,39.972492,-75.177403
121,Girard Av & 39th St,G1,3,15,134,39.974297,-75.201802
122,Baltimore Av & 53rd St,T2,3,10,127,39.947766,-75.229612
123,Baltimore Av & 52nd St,T2,3,10,127,39.947842,-75.227309
124,Poplar St & Stillman St,G1,5,12,126,39.97244,-75.178171
125,Chester Av & 53rd St,T3,3,13,123,39.940577,-75.221556
126,Chester Av & 53rd St,T3,3,13,123,39.940764,-75.221485
127,Baltimore Av & Broomall St,T2,3,9,117,39.947727,-75.227912
128,Baltimore Av & 54th St,T2,3,9,117,39.947797,-75.232139
129,Girard Av & 51st St,G1,4,10,113,39.971987,-75.223438
130,Girard Av & 52nd St,G1,4,10,113,39.971473,-75.22579
131,Girard Av & 52nd St,G1,4,10,113,39.971357,-75.225908
132,Girard Av & 51st St,G1,3,10,113,39.971845,-75.223745
133,Chester Av & 48th St,T3,3,4,113,39.944958,-75.215344
134,Chester Av & 47th St,T3,3,4,113,39.945901,-75.213984
135,Chester Av & 47th St,T3,3,4,113,39.94608,-75.213959
136,Chester Av & 48th St,T3,3,4,113,39.945154,-75.215285
137,Girard Av & 39th St,G1,4,12,110,39.974511,-75.201683
138,Baltimore Av & 54th St,T2,3,8,107,39.947742,-75.231466
139,Girard Av & 27th St,G1,5,10,106,39.974113,-75.180504
140,Woodland Av & 47th St,T4,3,3,101,39.943245,-75.210839
141,Woodland Av & 46th St,T4,3,3,101,39.944323,-75.209797
142,Woodland Av & 46th St,T4,3,3,101,39.944537,-75.209725
143,Woodland Av & 46th St,T5,3,3,101,39.944323,-75.209797
144,Woodland Av & 46th St,T5,3,3,101,39.944537,-75.209725
145,Chester Av & 46th St,T3,3,2,91,39.946827,-75.212682
146,Chester Av & 45th St,T3,3,2,91,39.9477,-75.211428
147,Chester Av & 45th St,T3,3,2,91,39.947878,-75.211403
148,Chester Av & 46th St,T3,3,2,91,39.947006,-75.212658
149,Lancaster Av & Powelton Av,T1,3,10,90,39.959631,-75.195542
150,Baltimore Av & 50th St,T2,3,9,90,39.947872,-75.223377
151,Baltimore Av & 49th St,T2,3,9,90,39.948101,-75.221404
152,Baltimore Av & 49th St,T2,3,9,90,39.948101,-75.221404
153,Baltimore Av & 50th St,T2,3,9,90,39.948041,-75.223199
154,Woodland Av & 48th St,T4,3,2,86,39.941953,-75.211728
155,Woodland Av & 48th St,T4,3,2,86,39.942176,-75.211716
156,Woodland Av & 48th St,T5,3,2,86,39.941953,-75.211728
157,Woodland Av & 48th St,T5,3,2,86,39.942176,-75.211716
158,Chester Av & 54th St,T3,3,9,83,39.939785,-75.222893
159,Lancaster Av & Bible Way,T1,4,9,81,39.976855,-75.226176
160,Lancaster Av & 52nd St,T1,4,9,81,39.977186,-75.2266
161,Baltimore Av & 49th St,T2,3,8,80,39.948261,-75.221109
162,Baltimore Av & 49th St,T2,3,8,80,39.948261,-75.221109
163,Chester Av & 54th St,T3,3,8,79,39.939607,-75.222952
164,Girard Av & 28th St,G1,5,7,76,39.974375,-75.181756
165,Girard Av & 28th St,G1,5,7,76,39.974286,-75.181969
166,26th St & Poplar St,G1,5,7,76,39.972701,-75.179198
167,Lansdowne Av & 63rd - FS,T1,4,4,72,39.975332,-75.244986
168,63rd St & Lansdowne Av - FS,T1,4,4,72,39.975582,-75.245529
169,Girard Av & 54th St,G1,4,7,70,39.971165,-75.228614
170,Girard Av & 54th St,G1,4,7,70,39.971041,-75.228803
171,Lansdowne Av & 55th St,T1,4,7,68,39.976811,-75.231858
172,Lansdowne Av & Lancaster Av,T1,4,7,68,39.977295,-75.227451
173,Lancaster Av & 47th St,T1,3,8,68,39.971555,-75.216115
174,Lancaster Av & 47th St,T1,3,8,68,39.971564,-75.215938
175,Girard Av & Berks St,G1,1,7,66,39.971869,-75.125833
176,Girard Av & Columbia Av,G1,5,7,66,39.970265,-75.130423
177,Girard Av & 29th St,G1,5,6,66,39.974574,-75.183361
178,Girard Av & 29th St,G1,5,6,66,39.974486,-75.183622
179,Girard Av & Berks St,G1,1,7,66,39.971709,-75.125999
180,Island Av & Tanager St - F,T5,2,3,65,39.90915,-75.242029
181,Island Av & Buist Av,T5,2,3,65,39.911186,-75.242661
182,Island Av & Buist Av - FS,T5,2,3,65,39.911195,-75.242744
183,Island Av & Tanager St,T5,2,3,65,39.909132,-75.2421
184,Lansdowne Av & 56th St,T1,4,6,64,39.976591,-75.233761
185,Lansdowne Av & 56th St,T1,4,6,64,39.976707,-75.233607
186,Richmond St & Clearfield St,G1,1,4,61,39.981783,-75.103782
187,Richmond St & Ann St,G1,1,4,61,39.979945,-75.107311
188,Richmond St & Ann St,G1,1,4,61,39.979758,-75.107536
189,Richmond St & Clearfield St,G1,1,4,61,39.981605,-75.104019
190,Girard Av & Columbia Av,G1,1,6,60,39.970122,-75.130542
191,22nd St,T1,2,6,60,39.953962,-75.176736
192,22nd St,T1,5,6,60,39.954051,-75.176571
193,Baltimore Av & 55th St,T2,3,6,60,39.947246,-75.233746
194,Baltimore Av & Florence Av,T2,3,6,60,39.948312,-75.219503
195,22nd St,T2,2,6,60,39.953962,-75.176736
196,22nd St,T2,5,6,60,39.954051,-75.176571
197,Baltimore Av & 55th St,T2,3,6,60,39.947442,-75.233522
198,22nd St,T3,2,6,60,39.953962,-75.176736
199,22nd St,T3,5,6,60,39.954051,-75.176571
200,22nd St,T4,2,6,60,39.953962,-75.176736
201,22nd St,T4,5,6,60,39.954051,-75.176571
202,22nd St,T5,2,6,60,39.953962,-75.176736
203,22nd St,T5,5,6,60,39.954051,-75.176571
204,Lansdowne Av & 54th St,T1,4,6,58,39.977013,-75.229908
205,Lansdowne Av & 54th St,T1,4,6,58,39.977129,-75.229755
206,Lansdowne Av & 55th St,T1,4,6,58,39.976927,-75.231704
207,Island Av & 76th St,T5,2,2,55,39.907284,-75.241432
208,Elmwood Av & Island Av - M,T5,2,2,55,39.913266,-75.242998
209,Elmwood Av & Island Av,T5,2,2,55,39.913284,-75.243092
