Rank_by_Units,Station_Stop_Name,Line_Route,Mode,District,Units_2020_2025,Permits_2020_2025,Score,Tier,BSL_MFL_Citywide_Rank,Existing_TOD_Overlay
66,Frankford Av & Richmond St,Trolley G1,Trolley,1,306,17,,Trolley,,No
67,Frankford Av & Richmond St,Trolley G1,Trolley,1,306,17,,Trolley,,No
68,Girard Av & 20th St,Trolley G1,Trolley,5,296,26,,Trolley,,No
69,Suburban Station,Regional Rail,Regional Rail,5,293,3,,Regional Rail,,No
70,Lancaster Av & 45th St,Trolley T1,Trolley,3,291,31,,Trolley,,No
71,Girard Av & Corinthian Av,Trolley G1,Trolley,5,287,30,,Trolley,,No
72,Girard Av & 20th St,Trolley G1,Trolley,5,286,25,,Trolley,,No
73,Girard Av & Corinthian Av,Trolley G1,Trolley,5,277,29,,Trolley,,No
74,Girard Av & Belmont Av - FS,Trolley G1,Trolley,3,267,29,,Trolley,,No
75,Erie,Broad Street Line,BSL/MFL,5,255,,61.0,Tier 2 - Strong Candidate,7,No
76,Girard Av & Belmont Av,Trolley G1,Trolley,3,247,27,,Trolley,,No
77,19th St,Trolley T1,Trolley,5,245,4,,Trolley,,No
78,19th St,Trolley T2,Trolley,5,245,4,,Trolley,,No
79,19th St,Trolley T3,Trolley,5,245,4,,Trolley,,No
80,19th St,Trolley T4,Trolley,5,245,4,,Trolley,,No
81,19th St,Trolley T5,Trolley,5,245,4,,Trolley,,No
82,19th St,Trolley T1,Trolley,5,235,3,,Trolley,,No
83,19th St,Trolley T2,Trolley,5,235,3,,Trolley,,No
84,19th St,Trolley T3,Trolley,5,235,3,,Trolley,,No
85,19th St,Trolley T4,Trolley,5,235,3,,Trolley,,No
86,19th St,Trolley T5,Trolley,5,235,3,,Trolley,,No
87,Girard Av & 40th St,Trolley G1,Trolley,3,228,26,,Trolley,,No
88,Girard Av & 5th St,Trolley G1,Trolley,5,227,22,,Trolley,,No
89,Girard Av & 40th St - FS,Trolley G1,Trolley,3,220,24,,Trolley,,No
90,Girard Av & 5th St,Trolley G1,Trolley,5,217,21,,Trolley,,No
91,Girard Av & 12th St,Trolley G1,Trolley,5,205,7,,Trolley,,No
92,Girard Av & 12th St,Trolley G1,Trolley,5,205,7,,Trolley,,No
93,Girard Av & 4th St,Trolley G1,Trolley,5,187,14,,Trolley,,No
94,Frankford Av & Delaware Av - FS,Trolley G1,Trolley,1,179,14,,Trolley,,No
95,Frankford Av & Delaware Av - FS,Trolley G1,Trolley,1,179,14,,Trolley,,No
96,Girard Av & 3rd St,Trolley G1,Trolley,5,177,13,,Trolley,,No
97,Girard Av & 3rd St,Trolley G1,Trolley,1,177,13,,Trolley,,No
98,Lancaster Av & 38th St,Trolley T1,Trolley,3,174,19,,Trolley,,No
99,Frankford Av & Delaware Av,Trolley G1,Trolley,1,169,13,,Trolley,,No
100,Frankford Av & Delaware Av Loop,Trolley G1,Trolley,1,169,13,,Trolley,,No
101,Frankford Av & Delaware Av,Trolley G1,Trolley,1,169,13,,Trolley,,No
102,Frankford Av & Delaware Av Loop,Trolley G1,Trolley,1,169,13,,Trolley,,No
103,49th Street,Regional Rail,Regional Rail,3,167,10,,Regional Rail,,No
104,40th St & Filbert St,Trolley T1,Trolley,3,161,16,,Trolley,,No
