Rank_by_Units,Station_Stop_Name,Line_Route,Mode,District,Units_2020_2025,Permits_2020_2025,Score,Tier,BSL_MFL_Citywide_Rank,Existing_TOD_Overlay
320,Wister,Regional Rail,Regional Rail,8,10,1,,Regional Rail,,No
321,Tulpehocken,Regional Rail,Regional Rail,8,10,1,,Regional Rail,,No
322,Ivy Ridge,Regional Rail,Regional Rail,4,10,1,,Regional Rail,,No
323,Carpenter,Regional Rail,Regional Rail,8,10,1,,Regional Rail,,No
324,Allen Lane,Regional Rail,Regional Rail,8,10,1,,Regional Rail,,No
325,Girard Av & 33rd St,Trolley G1,Trolley,4,10,1,,Trolley,,No
326,Girard Av & 49th St,Trolley G1,Trolley,4,10,1,,Trolley,,No
327,Girard Av & 59th St,Trolley G1,Trolley,4,10,1,,Trolley,,No
328,Girard Av & 60th St,Trolley G1,Trolley,4,10,1,,Trolley,,No
329,Girard Av & 60th St,Trolley G1,Trolley,4,10,1,,Trolley,,No
330,Girard Av & 59th St,Trolley G1,Trolley,4,10,1,,Trolley,,No
331,Girard Av & 57th St,Trolley G1,Trolley,4,10,1,,Trolley,,No
332,Girard Av & Lancaster Av,Trolley G1,Trolley,3,10,1,,Trolley,,No
333,Girard Av & 34th St - MBFS,Trolley G1,Trolley,3,10,1,,Trolley,,No
334,63rd St & Jefferson St,Trolley T1,Trolley,4,10,1,,Trolley,,No
335,Lansdowne Av & 62nd St,Trolley T1,Trolley,4,10,1,,Trolley,,No
336,Lansdowne Av & 61st St,Trolley T1,Trolley,4,10,1,,Trolley,,No
337,Lancaster Av & Girard Av,Trolley T1,Trolley,4,10,1,,Trolley,,No
338,36th St Trolley Portal Station,Trolley T1,Trolley,3,10,1,,Trolley,,No
339,15th St/City Hall,Trolley T1,Trolley,5,10,1,,Trolley,,No
340,15th St/City Hall,Trolley T1,Trolley,5,10,1,,Trolley,,No
341,36th St Trolley Portal Station,Trolley T1,Trolley,3,10,1,,Trolley,,No
342,Lancaster Av & 49th St,Trolley T1,Trolley,4,10,1,,Trolley,,No
343,Lansdowne Av & 61st St,Trolley T1,Trolley,4,10,1,,Trolley,,No
344,Lansdowne Av & 62nd St,Trolley T1,Trolley,4,10,1,,Trolley,,No
345,63rd St & Jefferson St,Trolley T1,Trolley,4,10,1,,Trolley,,No
346,Elmwood Av & 73rd St,Trolley T2,Trolley,2,10,1,,Trolley,,No
347,Woodland Av & Island Av,Trolley T2,Trolley,2,10,1,,Trolley,,No
348,49th St & Woodland Av,Trolley T2,Trolley,3,10,1,,Trolley,,No
349,Baltimore Av & 57th St,Trolley T2,Trolley,3,10,1,,Trolley,,No
350,36th-Sansom,Trolley T2,Trolley,3,10,1,,Trolley,,No
351,15th St/City Hall,Trolley T2,Trolley,5,10,1,,Trolley,,No
352,15th St/City Hall,Trolley T2,Trolley,5,10,1,,Trolley,,No
353,36th-Sansom,Trolley T2,Trolley,3,10,1,,Trolley,,No
354,Woodland Av & Island Av,Trolley T2,Trolley,2,10,1,,Trolley,,No
355,Elmwood Av & 73rd St,Trolley T2,Trolley,2,10,1,,Trolley,,No
356,36th-Sansom,Trolley T3,Trolley,3,10,1,,Trolley,,No
357,15th St/City Hall,Trolley T3,Trolley,5,10,1,,Trolley,,No
358,15th St/City Hall,Trolley T3,Trolley,5,10,1,,Trolley,,No
359,36th-Sansom,Trolley T3,Trolley,3,10,1,,Trolley,,No
360,Chester Av & 56th St,Trolley T3,Trolley,3,10,1,,Trolley,,No
361,Woodland Av & Island Av,Trolley T4,Trolley,2,10,1,,Trolley,,No
362,Woodland Av & 72nd St,Trolley T4,Trolley,2,10,1,,Trolley,,No
363,Woodland Av & 71st St,Trolley T4,Trolley,2,10,1,,Trolley,,No
364,Woodland Av & 70th St,Trolley T4,Trolley,2,10,1,,Trolley,,No
365,Woodland Av & 69th St,Trolley T4,Trolley,2,10,1,,Trolley,,No
366,Woodland Av & 49th St,Trolley T4,Trolley,3,10,1,,Trolley,,No
367,Woodland Av & 45th St,Trolley T4,Trolley,3,10,1,,Trolley,,No
368,36th-Sansom,Trolley T4,Trolley,3,10,1,,Trolley,,No
369,15th St/City Hall,Trolley T4,Trolley,5,10,1,,Trolley,,No
370,15th St/City Hall,Trolley T4,Trolley,5,10,1,,Trolley,,No
371,36th-Sansom,Trolley T4,Trolley,3,10,1,,Trolley,,No
372,Woodland Av & 43rd St,Trolley T4,Trolley,3,10,1,,Trolley,,No
373,Woodland Av & 49th St,Trolley T4,Trolley,3,10,1,,Trolley,,No
374,Woodland Av & 69th St,Trolley T4,Trolley,2,10,1,,Trolley,,No
375,Woodland Av & 70th St,Trolley T4,Trolley,2,10,1,,Trolley,,No
376,Woodland Av & 71st St,Trolley T4,Trolley,2,10,1,,Trolley,,No
377,Woodland Av & 72nd St,Trolley T4,Trolley,2,10,1,,Trolley,,No
378,Woodland Av & Island Av,Trolley T4,Trolley,2,10,1,,Trolley,,No
379,Elmwood Loop,Trolley T5,Trolley,2,10,1,,Trolley,,No
380,Elmwood Av & 73rd St,Trolley T5,Trolley,2,10,1,,Trolley,,No
381,49th St & Paschall Av,Trolley T5,Trolley,3,10,1,,Trolley,,No
382,49th St & Woodland Av,Trolley T5,Trolley,3,10,1,,Trolley,,No
383,Woodland Av & 45th St,Trolley T5,Trolley,3,10,1,,Trolley,,No
384,36th-Sansom,Trolley T5,Trolley,3,10,1,,Trolley,,No
385,15th St/City Hall,Trolley T5,Trolley,5,10,1,,Trolley,,No
386,15th St/City Hall,Trolley T5,Trolley,5,10,1,,Trolley,,No
387,36th-Sansom,Trolley T5,Trolley,3,10,1,,Trolley,,No
388,Woodland Av & 43rd St,Trolley T5,Trolley,3,10,1,,Trolley,,No
389,Woodland Av & 49th St,Trolley T5,Trolley,3,10,1,,Trolley,,No
390,49th St & Paschall Av,Trolley T5,Trolley,3,10,1,,Trolley,,No
391,Elmwood Av & 73rd St,Trolley T5,Trolley,2,10,1,,Trolley,,No
392,Elmwood Loop,Trolley T5,Trolley,2,10,1,,Trolley,,No
393,56th Street,Market/Frankford Line,BSL/MFL,4,9,,25.9,Tier 4 - Lower Priority,18,Yes
394,Tasker-Morris,Broad Street Line,BSL/MFL,1,6,,22.7,Tier 4 - Lower Priority,25,No
395,Snyder,Broad Street Line,BSL/MFL,1,3,,25.3,Tier 4 - Lower Priority,19,No
396,Allegheny,Broad Street Line,BSL/MFL,5,3,,24.3,Tier 4 - Lower Priority,20,No
397,Logan,Broad Street Line,BSL/MFL,9,3,,22.8,Tier 4 - Lower Priority,23,No
398,Allegheny,Market/Frankford Line,BSL/MFL,7,3,,22.8,Tier 4 - Lower Priority,24,Yes
399,Frankford Transportation Center,Market/Frankford Line,BSL/MFL,7,3,,22.0,Tier 4 - Lower Priority,26,Yes
400,Oregon,Broad Street Line,BSL/MFL,2,0,,23.9,Tier 4 - Lower Priority,21,No
401,Tioga,Market/Frankford Line,BSL/MFL,6,0,,21.9,Tier 4 - Lower Priority,27,Yes
402,Erie-Torresdale,Market/Frankford Line,BSL/MFL,6,0,,21.3,Tier 4 - Lower Priority,29,Yes
403,AT&T Station,Broad Street Line,BSL/MFL,2,0,,19.1,Tier 4 - Lower Priority,30,No
404,Market East,Regional Rail,Regional Rail,1,0,,,Regional Rail,,No
405,University City,Regional Rail,Regional Rail,3,0,,,Regional Rail,,No
406,Allegheny,Regional Rail,Regional Rail,8,0,,,Regional Rail,,No
407,Wynnefield Avenue,Regional Rail,Regional Rail,4,0,,,Regional Rail,,No
408,Eastwick,Regional Rail,Regional Rail,2,0,,,Regional Rail,,No
409,Olney,Regional Rail,Regional Rail,9,0,,,Regional Rail,,No
410,Fern Rock T C,Regional Rail,Regional Rail,9,0,,,Regional Rail,,No
411,Airport Terminal E F,Regional Rail,Regional Rail,2,0,,,Regional Rail,,No
412,Bridesburg,Regional Rail,Regional Rail,6,0,,,Regional Rail,,No
413,Airport Terminal C D,Regional Rail,Regional Rail,2,0,,,Regional Rail,,No
414,Airport Terminal B,Regional Rail,Regional Rail,2,0,,,Regional Rail,,No
415,Airport Terminal A,Regional Rail,Regional Rail,2,0,,,Regional Rail,,No
416,Washington Lane,Regional Rail,Regional Rail,8,0,,,Regional Rail,,No
417,Stenton,Regional Rail,Regional Rail,8,0,,,Regional Rail,,No
